timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733316494833,78540,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-16,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,54
1733316494833,78541,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,87
1733316495232,78141,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-102,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316494852,78522,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-35,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,35
1733316495416,77958,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-147,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316494837,78537,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-8,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,51
1733316494832,78542,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-22,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,56
1733316495349,78024,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-134,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316494837,78527,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-4,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,81
1733316495078,78294,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-80,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316494833,78541,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-20,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,55
1733316495716,77653,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-207,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495322,78049,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-129,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495373,77996,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-138,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,0
1733316495242,78129,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-110,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316494838,78530,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-17,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,50
1733316495426,77942,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-149,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316494885,78486,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-41,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316494837,78531,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-15,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,51
1733316495172,78188,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-92,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,56
1733316494838,78529,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-23,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,50
1733316495327,78040,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-130,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316494833,78531,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-18,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,55
1733316495232,78134,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-111,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316495100,78265,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-84,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316494892,78472,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-42,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,1
1733316495242,78124,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-113,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
1733316494837,78527,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-27,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,51
1733316494843,78521,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-33,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,45
1733316495466,77899,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-157,text,false,,2601,0,1000,1000,http://127.0.0.1:59482/api/portfolio,0,0,2
